date,cash,stock_market_value,stock_position,future_margin,future_position,net_value,PnL,
20151215,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151216,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151217,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151218,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151221,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151222,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151223,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151224,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151225,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151228,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151229,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151230,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20151231,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20160104,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20160105,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20160106,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20160107,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20160108,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20160111,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20160112,9749566.309304,249714.360000,6834,0.000000,0,9999280.669304,-719.330696,
20160113,9749566.309304,239190.000000,6834,0.000000,0,9988756.309304,-10524.360000,
20160114,10000604.825144,0.000000,0,0.000000,0,10000604.825144,11848.515840,
20160115,10000604.825144,0.000000,0,0.000000,0,10000604.825144,0.000000,
20160118,9687483.789970,310748.070000,14767,0.000000,0,9998231.859970,-2372.965174,
20160119,9687483.789970,324970.470000,14767,0.000000,0,10012454.259970,14222.400000,
20160120,9437171.076642,571481.750000,50716,0.000000,0,10008652.826642,-3801.433328,
20160121,9437171.076642,544739.570000,50716,0.000000,0,9981910.646642,-26742.180000,
20160122,9061489.965662,934471.010000,71217,0.000000,0,9995960.975662,14050.329020,
20160125,8559187.986634,1472886.500000,89511,0.000000,0,10032074.486634,36113.510972,
20160126,8789726.838408,1147572.640000,73640,0.000000,0,9937299.478408,-94775.008226,
20160127,8537200.948210,1385638.690000,123716,0.000000,0,9922839.638210,-14459.840198,
20160128,8537200.948210,1321879.960000,123716,0.000000,0,9859080.908210,-63758.730000,
20160129,8537200.948210,1377260.680000,123716,0.000000,0,9914461.628210,55380.720000,
20160201,6805453.613788,3073867.450000,304836,0.000000,0,9879321.063788,-35140.564422,
20160202,6680409.238328,3311220.090000,308095,0.000000,0,9991629.328328,112308.264540,
20160203,5492274.788958,4484946.800000,393077,0.000000,0,9977221.588958,-14407.739370,
20160204,6360415.669940,3760568.210000,335148,0.000000,0,10120983.879940,143762.290982,
20160205,6360415.669940,3700141.770000,335148,0.000000,0,10060557.439940,-60426.440000,
20160215,5612653.905996,4454417.040000,394016,0.000000,0,10067070.945996,6513.506056,
20160216,5612653.905996,4624633.490000,394016,0.000000,0,10237287.395996,170216.450000,
20160217,6002278.497072,4265411.630000,373515,0.000000,0,10267690.127072,30402.731076,
20160218,6389503.854556,3868634.630000,342742,0.000000,0,10258138.484556,-9551.642516,
20160219,6261016.522910,4005929.370000,347631,0.000000,0,10266945.892910,8807.408354,
20160222,6653366.237874,3716344.070000,274187,0.000000,0,10369710.307874,102764.414964,
20160223,6518981.387350,3821546.870000,282355,0.000000,0,10340528.257350,-29182.050524,
20160224,6556970.627714,3804004.360000,291929,0.000000,0,10360974.987714,20446.730364,
20160225,7897706.930550,2127694.800000,131047,0.000000,0,10025401.730550,-335573.257164,
20160226,7988991.808760,2021953.170000,125520,0.000000,0,10010944.978760,-14456.751790,
20160229,8502481.221286,1397484.300000,126253,0.000000,0,9899965.521286,-110979.457474,
20160301,8003952.301562,1953909.710000,168561,0.000000,0,9957862.011562,57896.490276,
20160302,8003952.301562,2063025.720000,168561,0.000000,0,10066978.021562,109116.010000,
20160303,9172255.274084,909003.960000,82893,0.000000,0,10081259.234084,14281.212522,
20160304,8169458.019128,1886847.330000,173426,0.000000,0,10056305.349128,-24953.884956,
20160307,7915795.557086,2215242.300000,216967,0.000000,0,10131037.857086,74732.507958,
20160308,7275453.219014,2853085.510000,274139,0.000000,0,10128538.729014,-2499.128072,
20160309,6395813.171842,3628441.270000,320247,0.000000,0,10024254.441842,-104284.287172,
20160310,6765856.173338,3217040.830000,302462,0.000000,0,9982897.003338,-41357.438504,
20160311,6149944.126278,3819505.090000,368547,0.000000,0,9969449.216278,-13447.787060,
20160314,6417396.643638,3700570.840000,363963,0.000000,0,10117967.483638,148518.267360,
20160315,5026607.022632,5061840.570000,528733,0.000000,0,10088447.592632,-29519.891006,
20160316,4387083.673418,5627358.520000,619512,0.000000,0,10014442.193418,-74005.399214,
20160317,4662230.839242,5532440.930000,588976,0.000000,0,10194671.769242,180229.575824,
20160318,4932612.754178,5486280.220000,573434,0.000000,0,10418892.974178,224221.204936,
20160321,5477424.178592,5069362.830000,538681,0.000000,0,10546787.008592,127894.034414,
20160322,5776091.787468,4755891.980000,524303,0.000000,0,10531983.767468,-14803.241124,
20160323,7124466.057172,3463312.840000,421189,0.000000,0,10587778.897172,55795.129704,
20160324,7274331.213452,3277542.330000,418587,0.000000,0,10551873.543452,-35905.353720,
20160325,7415998.566510,3143555.660000,402115,0.000000,0,10559554.226510,7680.683058,
20160328,7684386.856442,2874110.500000,391018,0.000000,0,10558497.356442,-1056.870068,
20160329,6236873.564032,4275860.790000,503881,0.000000,0,10512734.354032,-45763.002410,
